comment_id,Comment,abuse_type,platform,lang,cur_emotion,final_emotion,final_polarity,is_correct?,notes
C00285,যদি আপনি ঘুষ খেতে খেতে আল্লাহর কাছে দোষী সাব্যস্ত হয়ে যান তাহলে আপনার ছেলে মেয়ে আপনাকে অস্বীকার করে ইনশাল্লাহ পরের হক ভাই ব্রাদারের হক মেরে খান তাইলে আপনার সন্তানের মাধ্যমে আল্লাহ আপনাকে নানত দিবে সন্তানের থেকে খোঁজখবর নিব না একটা মুহূর্তে সেই সময় আপনার মনে হবে আমি কেন পরের টাকা দিয়ে আমার সংসারে সুন্দর করেছিলাম সুন্দর নয় তো আসলে বিষ খাইয়ে ছিলাম সেই বিষয়ে আমাকে খেয়েছে,Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00231,"This woman never ever didn’t look after her mother-in-law as well so this is come back to her simple also why she have why she don’t have any son should be she have Son and more children no fucking girls if you go girls go after married to husband, they don’t bother their parents if Son had provided Rig education special religious education after their parents thank you",Neglect,YouTube,latin,Victim-blaming,Victim-blaming,Negative,,
C00705,"দীক্ষার জানাই এরকম শিক্ষিত সমাজকে, যে সমাজ মা-বাবা থেকে আলাদা করে বসবাস করে,,, প্রতিটি মানুষেরই একটি মনুষ্যত্ববোধ থাকে, আর আপনি আমি সেই মনুষত্ববোধটা যদি মা-বাবার প্রতি না দেখিয়ে অন্য কারো প্রতি দেখায় আমার মনে হয় আমরা অনেক পিছিয়ে আছি,, আমি গরিব মা বাবার ঘরের জন্ম, আমি শিক্ষিত সমাজদের মানুষের অতি আহবান রাখতে চাই এই পৃথিবীতে মা এবং বাবা ছাড়া কেউ আপনার আপন হতে পারে না,",Abandonment,YouTube,bengali,Victim-blaming,Anger/Condemnation,Negative,,"Lamia audit: condemns abuser/3rd party, not victim"
C02025,Md Piyal পিয়াল আমি মিন্টু ভাইর পক্ষে নই। তার এটা করা মোটেই উচিত হয়নি। তার শাস্তি দাবি করছি। আমি বোঝাতে চেয়েছি সব মা এক রকম নয়। মিন্টু ভাইর উচিত ছিলো শান্ত থাকা বা ওখান থেকে চলে যাওয়া। মা তো মা ই। পবিত্র কোরআনে উল্লেখ আছে মা বাবার সাথে কোন টা টু শব্দও করা যাবে না। গায়ে হাত তোলা তো মহা অপরাধ। তবে কিছু মা তার সন্তানদের জীবন নরক করে তোলে। আশা করি বুঝতে পেরেছো।,Physical Abuse,Facebook,bn+en,Victim-blaming,Victim-blaming,Negative,,
C01200,এ লোকগুলো ই খারাপ। তাদের খারাপ এর শাস্তি শেষ বয়সে পাচ্ছে। ছেলে মেয়েদের নৈতিক ও ধর্মীয় শিক্ষা দিতে পারে নাই। শুধু কুশিক্ষা দিয়েছে।আর কাজের মেয়ে দিয়ে সন্তান পালন করে। এরচেয়ে ভালো হবে কি করে! এখন এসে কান্নাকাটি করে।কোনো গরিব পরিবারের ছেলে মেয়েরা বাবা মাকে ছেড়ে যায়না।(বিঃদ্রঃ সবার ক্ষেত্রে না অধিকাংশ ক্ষেত্রে তাই। মিলিয়ে দেখবেন।),Abandonment,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00009,যে সকল বাবা-মা সন্তানের উপার্জনের আশা বা অপেক্ষা করেসে সকল বাবা-মায়ের সন্তান জন্ম দেওয়া উচিত হয়নি🙏বিঃদ্রঃ সন্তান জন্ম দিয়েছি আমার শরীরের গরমকে শীতল করার জন্য❤সে সন্তানের উপার্জন আমি খাবো কেন?যেহেতু আমার সন্তানকে পৃথিবীতে আমি এনেছি সে তো সারা জীবন সন্তানকে আমি খাইয়ে এবং পড়িয়ে যাবো❤আমি কখনো সন্তানের কামাই খাওয়ার আশা করি না🙏🙏🙏,Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00972,বডো বাই জে বললো মা বাবার সমপদ রেকট করে সে জমি চোটো বায়ের নামে দলিল দিলো সেই জমি হলো 51 সতাংস মা পাবে বাবার জমি থেকে দূই আনা দলিল রাইট হবে সেই জমি বাকি জমি দূই বাই মালিক আর মা  বুল করলো চরম বুল করলো কেনো পথমে বডো চেলেকে দূই দলিল কেনো দীলো আবার ঐজমি কেনো মা রেকট করে চোটো চেলে দলিল দীলো সেই কারনে এতো কিচু সব দোসের দূসী মা,Abandonment,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00224,"আগে মুরুব্বিরা বলতো ছেলেমেয়েদের মানুষ বানাইছ।আর ছোটদের বলতো বাবারা মানুষ হইছ।আর এখন বলে পড়ালেখা কতটুকু,রেজাল্ট কেমন সব পড়া সম্পর্কিত আর কম্পিটিশন যার ভীড়ে মানুষ না হয়ে শিক্ষিত অমানুষ হওয়ার পাল্লা ভারী।ছেলে মেয়েদের বেশি শিক্ষিত না করে অতটুকুই যথেষ্ট যতটুকু চলার জন্য প্রয়োজন।বেশি শিক্ষিতরা বউ আর চাকরি নিয়ে  আলাদা থাকে।",Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C01587,", স্যার কি বলবো আপনাকে উপদেশ দেওয়ার মতন বিদ্যা বুদ্ধি আমার নেই, তবুও বলি বেয়াদবি হলে মাফ করবেন, আপনি আপনার সন্তানদেরকে, শিক্ষিত করেছেন এ কথা ঠিক, তবে সুশিক্ষিত করতে পারেন নি এটা আপনার ব্যর্থতা পিতা হিসেবে, যদি কোরআন এবং হাদিসের জ্ঞান তার ভিতরে থাকতো তাহলে আপনাকে এই বয়সে বৃদ্ধাশ্রমে থাকা লাগতো না, এটা আমার বিশ্বাস",Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C01109,"সন্তান কতৃ'ক পিতা-মাতাকে দেখা শোনা না করার পেছনে  ৮০% পিতা-মাতার  নিজের  দোষ আছে।  কারণ, ছোট বেলায় সন্তানদের পারিবারিক ও ইসলামি শিক্ষা দিতে পারেন না এবং  সন্তান কে মেয়েকে ২ বছর আর ছেলেকে ২ বছর ৬ মাস বুকের দুধ খাওয়ান নি মনে হচ্ছে।  নতুবা এরকম অবস্থা হতোনা তাঁর। এ সব কারণে তাদের জায়গা হয় বৃদ্ধা আশ্রমে।",Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00226,"তোমাদের যে বিপদ আপদ  ঘটে তা তোমাদের কৃতকর্মের ফল,,,         ৪২ নং সূরা শ্ত'রা আয়াত:৩০ যেসব বিপদ আসে                        তোমাদের উপরে তোমাদেরই কর্ম তাহা                         উপার্জন করে ।।   যদিও তোমাদের                        বেশকিছু পাপ      করেন দয়া করে                        তোমাদের মাফ।।",Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00703,বিষয়টি অত্যন্ত দুঃখজনক যদি ছেলেদের কে ইসলাম শিক্ষায় শিক্ষিত করতেন তাহলে এই বৃদ্ধাশ্রমে থাকতে হতো না তারপরও মাননীয় প্রধানমন্ত্রীর দৃষ্টি আকর্ষণ করছি ছেলেদের বিরুদ্ধে আজ অনেক ব্যবস্থা গ্রহণ করার জন্য আমার মনে হয় যারা বৃদ্ধকে বের করে দিয়েছেন তাদের সন্তানরাও তাদেরকে বের করে দিবেন এই আশ্রমে,Abandonment,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00219,এই দেশ টা তাই বলি ধংশ করেচে অতি মুর্খ আর অতি শিক্ষিতরা। ওনে কে তারেক রহমান কে শিক্ষিত বা অতি শিক্ষিত নয় বলে তিরস্কার করে জামাতি আওয়ামী বট রা। রাষ্ট্র পরিচানা করতে অতি শিক্ষিত দরকার। কিন্তু আমি বলী শিক্ষিত হয়ে এসব লোক আশ্রম এ আর তাদের অতি মেধাবী শিক্ষিত ছেলেরা আয়েশি জিবনে নৈতিক শিক্ষা কোথায়।,Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00014,আপনার ৫৪ লক্ষ টাকা দিছেন আপনি কয় টাকা স্যালারি পাইছেন আবার কান্দেন মানুষের হক নষ্ট করেছেন এভাবে যারা করেছে। আপনি কয় টাকা স্যালারি পাইছেন পিছনে একটা ফ্ল্যাট বেশি 40 লক্ষ 50 লক্ষ টাকা দিছে কয় টাকা স্যালারি পেয়েছেন আপনি কানবেন না কান্না করবে কি আরেকজনে বৃদ্ধাশ্রমে দিবি না দিবি কি আরেকজনাকে,Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C01484,এখানে তো সমস্যার কিছু দেখতেছি না সে মারা যাওয়ার আগ পর্যন্ত তো একটা ভাতা পাবে সরকার থেকে আর সে ভাতা দিয়ে তার সুন্দরভাবে চলে যাবে আর সারা জীবন চাকরি করে কিছুই জমাই নি এত পাগল শিক্ষক হয় কেমনে এর মত পাগল শিক্ষক হলে বাংলাদেশ আজকে ধ্বংস এই হালারে বৃদ্ধাশ্রমে কেখাওয়ায় সরকার থেকে তো ভাতা পায়,Verbal Abuse,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C01139,সব বাবাদের উচিত এখনই শিক্ষা গ্রহণ করা এবং সন্তানদের দিন শিখানো। ইনশাআল্লাহ দ্বীনদার কোন সন্তান পিতা-মাতার সাথে এমন ব্যবহার কখনোই করবেন না। আর অবৈধ পথে আয় রোজগার এখনই বন্ধ করতে হবে কারণ সন্তানের সুখের জন্য যে অবৈধ টাকা আজ আমি রোজগার করতেছি এই টাকাই এক সময় পিতা-মাতাকে বৃদ্ধাশ্রমে পাঠাবে।,Abandonment,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C01212,আমি মনে করি ১০০% একজন ঘুষখোর অথবা সরকারি কর্মকর্তা ছিল এ কারণে তার টাকা পয়সা শেষ সময় কাজে লাগবে না। না জানি কত অসহায় মানুষের অসহায়ের সুযোগ নিয়ে মানুষকে সেবা থেকে বঞ্চিত করছে।  তাদের শেষ সময়ে এসে  এটাই হবে এটা প্রাকৃতিক নিয়ম। এটা কোন কৃষক বাবার এমন পরিণতি হবে না ইনশাল্লাহ।,Abandonment,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00276,কি আর বলবো বলার কিছু নেই দোয়া করি আল্লাহর কাছে শুধুমাত্র সবচেয়ে বড় ভুল হচ্ছে সন্তানদেরকে নৈতিক শিক্ষা দেওয়া হয়নি দ্বীনি শিক্ষা দেওয়া হয়নি আজ কেন একজন কলেজের অধ্যাপক বৃদ্ধাশ্রমে থাকবেন তার মানে হলো সন্তানদেরকে ছোটবেলা থেকে মৌলিক যে শিক্ষা ছিল ধার্মিক শিক্ষা দেওয়া হয়নি,Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C01566,"সম্পদের সঠিক ভাগ ইসলাম অনুযায়ী না করলে এই অবস্থায় হবে। এগুলা থেকে আমাদের শিক্ষা নেওয়া উচিত, ইসলাম কত সুন্দর বিধান দিয়েছে আমাদের, যা মানলে বাবা-মায়ের কোন কষ্ট হবে না। বাবা-মা এক্স ছেলে মেয়েকে ভালোবেসে সবকিছু দিয়ে দে অন্যদের দেয় না ঠকায় এজন্যই এর পরিণতি হয়",Abandonment,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C01659,উচ্চশিক্ষায় শিক্ষিত করেছেন কিন্তু মানুষ করতে পারেননি একটা রিক্সাওয়ালার মা রিক্সাওয়ালা কাছেই থাকে বৃদ্ধাশ্রমে নয় কারণ ইসলামের ধ্যান ধারণা শিক্ষা যদি কোন মুসলিম পরিবারের সন্তানের না থাকে তবেই তো মা-বাবা বৃদ্ধাশ্রমে থাকে আল্লাহ পাক সকলকে বুঝার তৌফিক দান করুন আমিন,Neglect,Facebook,bengali,Victim-blaming,Victim-blaming,Negative,,
C01054,সন্তান শুধু লেখাপড়া শিখালে মানুষ হয় না। ধর্মীয় অনুভূতি বা বিশ্বাসের সাথে যদি না গড়ে তোলা যায় তাহলে তারা মনুষ্যত্ব বিহীন মানুষ হয় । তাই প্রতিটি বাবা মায়ের উচিত অনন্য শিক্ষার সাথে ধর্মীয় শিক্ষা দেওয়ার চেষ্টা করবেন। এই মায়ের জন্য আমরা কিছু করি ধন্যবাদ,Neglect,YouTube,bengali,Victim-blaming,Neutral-Other,Negative,,
C00326,আমরা তো সন্তান মানুষ করি ক্যারিয়ারের জন্য দুনিয়ার জন্য ডাক্তার ইঞ্জিনিয়ার এর জন্য আর এখনকার মা-বাবারা তো সন্তান মানুষ করে না আল্লাহ আল্লাহর রাসূলের জন্য যে সন্তান আল্লাহ আল্লাহ রাসুলের জন্য মানুষ করবে সে সন্তানের মা-বাবা কখনো বৃদ্ধাশ্রমে থাকবে না,Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00279,শেষ বয়সে যদি কেউ বৃদ্ধাশ্রমে যেতে না চান তাহলে সন্তানদেরকে দ্বীন তথা ইসলাম  শিক্ষা দিন ছোটবেলা থেকেই আল্লাহকে চেনান রাসুল কে চেনান দ্বীনের  সাথে সম্পর্ক তৈরি করে দিন ইনশাআল্লাহ এই সন্তান কোনদিন মা-বাবাকে বৃদ্ধাশ্রমে পাঠাবে না ইনশাল্লাহ!,Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00422,উনাকে একটা প্রশ্ন করুন — উনার পিতা মাতার প্রতি উনি কতটুকু দায়ীত্ব পালন করেছিলেন?এখন মিডিয়ার মাধ্যমে সবকিছু প্রকাশ এবং প্রচার হচ্ছে। আজ থেকে ৩০/৪০ বৎসর আগে এই সুযোগ ছিলনা তৎকালিন পিতা/ মাতা তাদের দুঃখের কথা বলারও কোন সুযোগ ছিল না।,Verbal Abuse,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C01161,ছেলে আমার মস্ত বড় মস্ত অফিসার। মস্ত ফ্লেটে যায়না দেখা এপার ওপার । নানা রকম জিনিস আর আসবাব দামী দামী । সবচেয়ে কম দামী ছিলাম একমাত্র আমি। ছেলেরা আবার আমার প্রতি অগাধ সম্ভ্রম । আমারই ঠিকানা তাই বৃদ্ধাশ্রম । ইসলাম না শিখানোর ফল।,Abandonment,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00056,দুই নাম্বার টাকা দিয়ে পোলাপাইনকে পড়াইছে গরিবের টাকা মাইরা খাইছে সরকারি বেতন পাইছে ৩০০০০ টাকা ঘর ভাড়া দিছে ৪০হাজার টাকা ছেলে মেয়েকে পড়াইছে ভিকারুন্নেসা আইডিয়াল কলেজে মাসে খরচ হইছে ১০০০০০/১৫০০০০ টাকা কপালের লিখন যায়না খণ্ডন,Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C01188,হারাম টাকা দিয়া পোলাপাইন পোলাপাইন পালছে এদের তো বৃদ্ধাশ্রম এই জায়গা এদের আর কোনখানে জায়গা হইতে পারে না মানুষকে ঠকায় যে বয়সের কালে মানুষেরে পিটাইছে মানুষকে মানুষ মনে করে না আল্লাহর বিচার আছে তবে করে শেষ সময়,Abandonment,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C01578,এই লোকের নিজেরও দোষ আছে কারণ অনেক বাবা মারা তাদের একটি সন্তানকে অনেক সময় এত আদর করে যে অন্যান্য সন্তানদেরকে আদর থেকে বঞ্চিত করে উনিও  মনে হয় সেই  রকমই মনে হচ্ছে। উনার সন্তান কিভাবে উনার সম্পত্তি লিখে নেই?,Abandonment,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00468,প্রকৃত দ্বীনি শিক্ষা না থাকলে ভবিষ্যৎ প্রজন্ম অন্ধকার। ইয়া আল্লাহ তুমি এমন সন্তান দান করো যাতে দুনিয়াতে শান্তি এবং আখেরাতে মুক্তি পেতে  পারি।আল্লাহ তুমি আমার ও আমার সন্তানের প্রতি রহমত দান করুন-আমিন।,Verbal Abuse,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C01493,"প্রশাসনের উচিত বড় সন্তান তার পিতার সম্পত্তি নিজের নামে লিখে নিয়েছে সেগুলো সব ভাই বোনদের মধ্যে বন্টন করে দেওয়া,আর নারী কত অভিনয় জানে ভিডিওটা তারই প্রমাণ,ওই এলাকায় সন্তান তো আমি তাই মোটামুটি সবকিছু জানি",Abandonment,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C01171,যারা ছেলে মেয়েকে ডাক্তার ইঞ্জিনিয়ার বানিয়ে গর্ব করে তারাই শেষ পর্যন্ত বৃদ্ধাশ্রমে থাকে কিন্তু যে বাবারা তার ছেলেকে আলেম বানাইছে ওই আলমের জান থাকা অবস্থায় তার বাবা কে কখনো বৃদ্ধাশ্রমে  পাঠাবে না,Abandonment,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00689,"কোন নিরক্ষর লোকের বাপ মা, বৃদ্ধাশ্রমে থাকেনা। এর এসব ধনীরা কখনও যাকাত দেয়নাই, ছেলে মেয়েদের ইসলামি শিক্ষাও দেয়নাই। এর কারনেই এদের এই অবস্থা, আর এরা কখনও সম্পদ দানও করবেনা,ঐ ছেলে মেয়েদেরই দেবে সব।",Abandonment,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C01299,যত সব ফাইজলামি কথা। মানুষ নিজের জন্য জায়গা না কিনে ভাইয়ের জন্য কিনে৷ বয়স কালে যখন অর্থ ছিলো তখন  হয়তো সবার সাথে খারাপ ব্যাবহার করতো। অহংকারীকে আল্লাহ কখনোই পচন্দ করে না।বাকীটা আল্লাহ ভালো জানে।,Abandonment,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00298,"ভাই এদের ব্যক্তিগত সাক্ষাৎকার না নিয়ে, এই বৃদ্ধ মানুষটি তার পিতা-মাতার সাথে কেমন আচরণ করেছিল, সেটা নিয়ে দুটো একটা প্রশ্ন করুন। তাহলে এই ব্যক্তি কেন বৃদ্ধাশ্রমে ,সেটার উত্তর আমরা পেয়ে যাব।",Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00950,"Caci apni onek boro pap koresen. R sey paper fol apni passen. Apni kukur k mugur na di a, disen sonar has. Apni coto seleke kisu na dia, boro seleke 7 bigha jomi disen. Ar kono maaf nay.",Abandonment,YouTube,latin,Victim-blaming,Victim-blaming,Negative,,
C00048,এই বাবা মায়েদের জীবনের চরম ব্যর্থতা হচ্ছে সন্তানকে সুশিক্ষা শিক্ষিত না করা? এখানে সন্তানের কোনো দোষ নাই? বৃদ্ধাশ্রম এ যাদের বসবাস তাদের সন্তানরা তাদের বাবামায়ের দেওয়া শিক্ষা শিক্ষণীয়?,Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
